season,gameweek,home_team,home_score,away_team,away_score
2018-19,1,Kante Kepa Clean Sheet,90.75,The Cobras,118.75
2018-19,1,Pun on a Footballers Name,140.25,Team Beige,92.0
2018-19,1,Rainham Steel Select XI,124.75,AFC Pleasures,88.0
2018-19,1,THE MIKES TINY PENISES,141.0,#WinOrLose,100.75
2018-19,2,#WinOrLose,108.75,The Cobras,121.0
2018-19,2,AFC Pleasures,176.0,Kante Kepa Clean Sheet,52.25
2018-19,2,Pun on a Footballers Name,85.25,THE MIKES TINY PENISES,153.75
2018-19,2,Team Beige,101.75,Rainham Steel Select XI,104.0
2018-19,3,#WinOrLose,101.75,AFC Pleasures,134.0
2018-19,3,Kante Kepa Clean Sheet,111.25,Rainham Steel Select XI,74.5
2018-19,3,THE MIKES TINY PENISES,76.0,Team Beige,90.25
2018-19,3,The Cobras,96.75,Pun on a Footballers Name,131.0
2018-19,4,Pun on a Footballers Name,106.0,AFC Pleasures,49.0
2018-19,4,Rainham Steel Select XI,79.5,#WinOrLose,122.75
2018-19,4,THE MIKES TINY PENISES,118.75,The Cobras,62.0
2018-19,4,Team Beige,98.5,Kante Kepa Clean Sheet,120.25
2018-19,5,#WinOrLose,151.0,Kante Kepa Clean Sheet,88.75
2018-19,5,AFC Pleasures,95.0,THE MIKES TINY PENISES,71.0
2018-19,5,Pun on a Footballers Name,83.75,Rainham Steel Select XI,84.25
2018-19,5,The Cobras,67.0,Team Beige,156.0
2018-19,6,Kante Kepa Clean Sheet,119.75,Pun on a Footballers Name,102.25
2018-19,6,THE MIKES TINY PENISES,101.5,Rainham Steel Select XI,107.75
2018-19,6,Team Beige,118.25,#WinOrLose,113.25
2018-19,6,The Cobras,70.25,AFC Pleasures,108.25
2018-19,7,AFC Pleasures,101.0,Team Beige,112.75
2018-19,7,Pun on a Footballers Name,67.5,#WinOrLose,116.75
2018-19,7,Rainham Steel Select XI,107.25,The Cobras,131.25
2018-19,7,THE MIKES TINY PENISES,120.75,Kante Kepa Clean Sheet,55.0
2018-19,8,#WinOrLose,101.5,THE MIKES TINY PENISES,107.0
2018-19,8,AFC Pleasures,93.25,Rainham Steel Select XI,94.75
2018-19,8,Team Beige,64.5,Pun on a Footballers Name,95.0
2018-19,8,The Cobras,89.0,Kante Kepa Clean Sheet,122.25
2018-19,9,Kante Kepa Clean Sheet,122.0,AFC Pleasures,122.75
2018-19,9,Rainham Steel Select XI,99.5,Team Beige,53.25
2018-19,9,THE MIKES TINY PENISES,69.25,Pun on a Footballers Name,87.0
2018-19,9,The Cobras,90.0,#WinOrLose,106.75
2018-19,10,AFC Pleasures,113.5,#WinOrLose,110.0
2018-19,10,Pun on a Footballers Name,117.0,The Cobras,78.75
2018-19,10,Rainham Steel Select XI,96.25,Kante Kepa Clean Sheet,111.75
2018-19,10,Team Beige,78.75,THE MIKES TINY PENISES,85.5
2018-19,11,#WinOrLose,98.25,Rainham Steel Select XI,103.5
2018-19,11,AFC Pleasures,94.5,Pun on a Footballers Name,74.25
2018-19,11,Kante Kepa Clean Sheet,51.75,Team Beige,134.0
2018-19,11,The Cobras,78.75,THE MIKES TINY PENISES,154.0
2018-19,12,Kante Kepa Clean Sheet,85.5,#WinOrLose,98.25
2018-19,12,Rainham Steel Select XI,79.5,Pun on a Footballers Name,74.25
2018-19,12,THE MIKES TINY PENISES,86.0,AFC Pleasures,128.5
2018-19,12,Team Beige,110.5,The Cobras,92.25
2018-19,13,#WinOrLose,86.5,Team Beige,97.5
2018-19,13,AFC Pleasures,114.5,The Cobras,116.0
2018-19,13,Pun on a Footballers Name,123.5,Kante Kepa Clean Sheet,105.75
2018-19,13,Rainham Steel Select XI,107.5,THE MIKES TINY PENISES,69.25
2018-19,14,#WinOrLose,107.0,Pun on a Footballers Name,99.5
2018-19,14,Kante Kepa Clean Sheet,158.0,THE MIKES TINY PENISES,111.5
2018-19,14,Team Beige,72.75,AFC Pleasures,108.75
2018-19,14,The Cobras,63.5,Rainham Steel Select XI,96.0
2018-19,15,Kante Kepa Clean Sheet,107.75,The Cobras,96.0
2018-19,15,Pun on a Footballers Name,159.75,Team Beige,48.5
2018-19,15,Rainham Steel Select XI,115.5,AFC Pleasures,64.25
2018-19,15,THE MIKES TINY PENISES,127.75,#WinOrLose,63.25
2018-19,16,#WinOrLose,80.75,The Cobras,82.5
2018-19,16,AFC Pleasures,129.5,Kante Kepa Clean Sheet,151.25
2018-19,16,Pun on a Footballers Name,44.0,THE MIKES TINY PENISES,140.75
2018-19,16,Team Beige,87.25,Rainham Steel Select XI,92.75
2018-19,17,#WinOrLose,74.25,AFC Pleasures,71.25
2018-19,17,Kante Kepa Clean Sheet,83.5,Rainham Steel Select XI,113.25
2018-19,17,THE MIKES TINY PENISES,71.25,Team Beige,54.5
2018-19,17,The Cobras,82.25,Pun on a Footballers Name,113.5
2018-19,18,Pun on a Footballers Name,100.5,AFC Pleasures,124.0
2018-19,18,Rainham Steel Select XI,95.5,#WinOrLose,91.0
2018-19,18,THE MIKES TINY PENISES,85.25,The Cobras,115.5
2018-19,18,Team Beige,48.5,Kante Kepa Clean Sheet,111.0
2018-19,19,#WinOrLose,67.0,Kante Kepa Clean Sheet,156.25
2018-19,19,AFC Pleasures,161.5,THE MIKES TINY PENISES,55.75
2018-19,19,Pun on a Footballers Name,143.75,Rainham Steel Select XI,133.0
2018-19,19,The Cobras,123.25,Team Beige,86.25
2018-19,20,Kante Kepa Clean Sheet,101.5,Pun on a Footballers Name,45.75
2018-19,20,THE MIKES TINY PENISES,106.0,Rainham Steel Select XI,111.5
2018-19,20,Team Beige,97.5,#WinOrLose,28.5
2018-19,20,The Cobras,73.75,AFC Pleasures,101.25
2018-19,21,AFC Pleasures,117.0,Team Beige,115.75
2018-19,21,Pun on a Footballers Name,107.5,#WinOrLose,77.75
2018-19,21,Rainham Steel Select XI,110.0,The Cobras,116.5
2018-19,21,THE MIKES TINY PENISES,42.0,Kante Kepa Clean Sheet,127.75
2018-19,22,#WinOrLose,107.25,THE MIKES TINY PENISES,91.75
2018-19,22,AFC Pleasures,92.5,Rainham Steel Select XI,110.5
2018-19,22,Team Beige,130.75,Pun on a Footballers Name,101.0
2018-19,22,The Cobras,97.5,Kante Kepa Clean Sheet,94.75
2018-19,23,Kante Kepa Clean Sheet,60.25,AFC Pleasures,95.0
2018-19,23,Rainham Steel Select XI,103.0,Team Beige,83.75
2018-19,23,THE MIKES TINY PENISES,91.75,Pun on a Footballers Name,70.0
2018-19,23,The Cobras,99.75,#WinOrLose,109.5
2018-19,24,AFC Pleasures,77.5,#WinOrLose,53.5
2018-19,24,Pun on a Footballers Name,93.0,The Cobras,67.75
2018-19,24,Rainham Steel Select XI,113.25,Kante Kepa Clean Sheet,48.0
2018-19,24,Team Beige,84.5,THE MIKES TINY PENISES,132.5
2018-19,25,#WinOrLose,137.75,Rainham Steel Select XI,116.0
2018-19,25,AFC Pleasures,85.0,Pun on a Footballers Name,114.25
2018-19,25,Kante Kepa Clean Sheet,125.25,Team Beige,138.75
2018-19,25,The Cobras,101.75,THE MIKES TINY PENISES,128.75
2018-19,26,Kante Kepa Clean Sheet,88.75,#WinOrLose,143.0
2018-19,26,Rainham Steel Select XI,152.5,Pun on a Footballers Name,116.5
2018-19,26,THE MIKES TINY PENISES,113.0,AFC Pleasures,115.25
2018-19,26,Team Beige,182.75,The Cobras,102.25
2018-19,27,#WinOrLose,134.25,Team Beige,41.0
2018-19,27,AFC Pleasures,81.25,The Cobras,145.25
2018-19,27,Pun on a Footballers Name,98.5,Kante Kepa Clean Sheet,63.0
2018-19,27,Rainham Steel Select XI,71.5,THE MIKES TINY PENISES,103.75
2018-19,28,#WinOrLose,118.0,Pun on a Footballers Name,141.0
2018-19,28,Kante Kepa Clean Sheet,106.25,THE MIKES TINY PENISES,91.5
2018-19,28,Team Beige,86.0,AFC Pleasures,152.25
2018-19,28,The Cobras,48.25,Rainham Steel Select XI,153.25
2018-19,29,Kante Kepa Clean Sheet,81.75,The Cobras,62.5
2018-19,29,Pun on a Footballers Name,95.0,Team Beige,85.75
2018-19,29,Rainham Steel Select XI,98.25,AFC Pleasures,118.5
2018-19,29,THE MIKES TINY PENISES,103.5,#WinOrLose,97.75
2018-19,30,#WinOrLose,56.25,The Cobras,69.5
2018-19,30,AFC Pleasures,76.0,Kante Kepa Clean Sheet,86.75
2018-19,30,Pun on a Footballers Name,70.5,THE MIKES TINY PENISES,107.75
2018-19,30,Team Beige,98.5,Rainham Steel Select XI,106.0
2018-19,31,#WinOrLose,46.75,AFC Pleasures,59.75
2018-19,31,Kante Kepa Clean Sheet,84.0,Rainham Steel Select XI,84.5
2018-19,31,THE MIKES TINY PENISES,89.5,Team Beige,61.0
2018-19,31,The Cobras,43.0,Pun on a Footballers Name,32.0
2018-19,32,Pun on a Footballers Name,115.0,AFC Pleasures,125.75
2018-19,32,Rainham Steel Select XI,88.75,#WinOrLose,110.0
2018-19,32,THE MIKES TINY PENISES,100.0,The Cobras,67.75
2018-19,32,Team Beige,119.75,Kante Kepa Clean Sheet,116.5
2018-19,33,#WinOrLose,145.0,Kante Kepa Clean Sheet,139.0
2018-19,33,AFC Pleasures,110.25,THE MIKES TINY PENISES,102.5
2018-19,33,Pun on a Footballers Name,114.0,Rainham Steel Select XI,175.75
2018-19,33,The Cobras,97.75,Team Beige,81.5
2018-19,34,Kante Kepa Clean Sheet,110.75,Pun on a Footballers Name,111.5
2018-19,34,THE MIKES TINY PENISES,43.25,Rainham Steel Select XI,151.5
2018-19,34,Team Beige,125.75,#WinOrLose,96.75
2018-19,34,The Cobras,105.5,AFC Pleasures,156.5
2018-19,35,AFC Pleasures,99.75,Team Beige,142.0
2018-19,35,Pun on a Footballers Name,81.75,#WinOrLose,118.25
2018-19,35,Rainham Steel Select XI,155.0,The Cobras,150.5
2018-19,35,THE MIKES TINY PENISES,127.75,Kante Kepa Clean Sheet,105.25
2018-19,36,#WinOrLose,191.75,THE MIKES TINY PENISES,165.25
2018-19,36,AFC Pleasures,108.25,Rainham Steel Select XI,224.5
2018-19,36,Team Beige,156.25,Pun on a Footballers Name,189.0
2018-19,36,The Cobras,137.0,Kante Kepa Clean Sheet,93.25
2018-19,37,Kante Kepa Clean Sheet,95.25,AFC Pleasures,131.75
2018-19,37,Rainham Steel Select XI,98.75,Team Beige,127.5
2018-19,37,THE MIKES TINY PENISES,90.5,Pun on a Footballers Name,73.25
2018-19,37,The Cobras,120.5,#WinOrLose,48.5
2018-19,38,AFC Pleasures,149.25,#WinOrLose,85.5
2018-19,38,Pun on a Footballers Name,115.5,The Cobras,117.75
2018-19,38,Rainham Steel Select XI,71.5,Kante Kepa Clean Sheet,171.25
2018-19,38,Team Beige,123.25,THE MIKES TINY PENISES,98.75
2019-20,1,#WinOrLose,144.5,Rainham Steel Select XI,104.25
2019-20,1,AFC Pleasures,126.5,Kante Kepa Clean Sheet,134.75
2019-20,1,Pun on a Footballers Name,125.5,THE MIKES TINY PENISES,68.5
2019-20,1,The Cobras,114.25,Kane and Owl Albion,90.75
2019-20,1,UFOE FC,65.25,Team Beige,56.75
2019-20,2,Kane and Owl Albion,97.25,THE MIKES TINY PENISES,160.5
2019-20,2,Kante Kepa Clean Sheet,48.75,The Cobras,153.5
2019-20,2,Rainham Steel Select XI,92.0,Pun on a Footballers Name,64.0
2019-20,2,Team Beige,67.75,AFC Pleasures,81.0
2019-20,2,UFOE FC,66.25,#WinOrLose,88.0
2019-20,3,#WinOrLose,97.25,Team Beige,63.25
2019-20,3,Kane and Owl Albion,92.0,Rainham Steel Select XI,96.5
2019-20,3,Pun on a Footballers Name,104.25,UFOE FC,75.25
