season,gameweek,home_team,home_score,away_team,away_score
2025-26,1,Kante Kepa Clean Sheet,68.75,Rainham Steel Select XI,83.75
2025-26,1,AFC Pleasures,129.5,The Cobras,66.5
2025-26,1,THE MIKES TINY PENISES,99.5,Rapid Viennetta,153.5
2025-26,1,#WinOrLose,61.75,Team Beige,98.0
2025-26,1,UFOE FC,101.75,Kane and Owl Albion,99.0
2025-26,1,Berge King,123.25,Pun on a Footballers Name,134.5
2025-26,2,Rainham Steel Select XI,68.5,AFC Pleasures,68.25
2025-26,2,Kante Kepa Clean Sheet,63.5,THE MIKES TINY PENISES,125.75
2025-26,2,The Cobras,94.25,#WinOrLose,104.25
2025-26,2,Rapid Viennetta,97.25,UFOE FC,101.0
2025-26,2,Team Beige,64.5,Berge King,100.0
2025-26,2,Kane and Owl Albion,100.5,Pun on a Footballers Name,98.75
2025-26,3,THE MIKES TINY PENISES,92.0,Rainham Steel Select XI,45.75
2025-26,3,#WinOrLose,120.75,AFC Pleasures,120.0
2025-26,3,UFOE FC,85.75,Kante Kepa Clean Sheet,95.0
2025-26,3,Berge King,102.25,The Cobras,89.5
2025-26,3,Pun on a Footballers Name,80.75,Rapid Viennetta,57.25
2025-26,3,Kane and Owl Albion,77.25,Team Beige,72.25
2025-26,4,Kante Kepa Clean Sheet,102.0,Pun on a Footballers Name,108.75
2025-26,4,AFC Pleasures,126.75,Berge King,101.25
2025-26,4,Rainham Steel Select XI,80.5,#WinOrLose,93.25
2025-26,4,Rapid Viennetta,104.0,Team Beige,79.25
2025-26,4,THE MIKES TINY PENISES,67.5,UFOE FC,86.0
2025-26,4,The Cobras,92.5,Kane and Owl Albion,120.25
2025-26,5,Pun on a Footballers Name,57.25,THE MIKES TINY PENISES,127.0
2025-26,5,Berge King,67.25,#WinOrLose,54.5
2025-26,5,Kane and Owl Albion,110.75,AFC Pleasures,100.75
2025-26,5,Rapid Viennetta,104.25,The Cobras,77.75
2025-26,5,Team Beige,84.5,Kante Kepa Clean Sheet,88.75
2025-26,5,UFOE FC,63.75,Rainham Steel Select XI,74.5
2025-26,6,UFOE FC,100.25,Pun on a Footballers Name,72.25
2025-26,6,#WinOrLose,80.5,Kane and Owl Albion,95.5
2025-26,6,AFC Pleasures,124.75,Rapid Viennetta,95.75
2025-26,6,Kante Kepa Clean Sheet,127.25,The Cobras,126.5
2025-26,6,Rainham Steel Select XI,92.5,Berge King,65.25
2025-26,6,THE MIKES TINY PENISES,69.0,Team Beige,98.5
2025-26,7,Pun on a Footballers Name,118.5,Rainham Steel Select XI,95.5
2025-26,7,Kane and Owl Albion,104.5,Berge King,98.75
2025-26,7,Kante Kepa Clean Sheet,77.75,AFC Pleasures,89.25
2025-26,7,Rapid Viennetta,98.5,#WinOrLose,146.25
2025-26,7,Team Beige,95.0,UFOE FC,57.75
2025-26,7,The Cobras,105.0,THE MIKES TINY PENISES,81.5
2025-26,8,Pun on a Footballers Name,151.25,Team Beige,114.25
2025-26,8,#WinOrLose,95.25,Kante Kepa Clean Sheet,113.0
2025-26,8,Berge King,79.25,Rapid Viennetta,81.0
2025-26,8,Rainham Steel Select XI,133.0,Kane and Owl Albion,130.25
2025-26,8,THE MIKES TINY PENISES,78.0,AFC Pleasures,93.5
2025-26,8,UFOE FC,70.0,The Cobras,115.0
2025-26,9,The Cobras,147.75,Pun on a Footballers Name,81.25
2025-26,9,AFC Pleasures,79.5,UFOE FC,124.5
